sequence,ticket_id,track,phase,title,status,priority,depends_on,summary,deliverables,success_criteria,validation,general_instructions,watch_outs,files_or_modules
0,ROADMAP-000,ROADMAP,Planning,Create execution roadmap artifacts,done,P0,none,Convert the rewrite plan into an execution-grade backlog that can drive autonomous delivery without additional planning passes.,"Root tickets.csv with unique ticket IDs, sequence, dependencies, status, success criteria, validation, instructions, and watch-outs; root PLAN.md with shared operating guidance and execution rules.",tickets.csv and PLAN.md both exist at repo root; ticket IDs are unique and sorted by sequence; dependencies are explicit and non-circular; exactly one next actionable ticket is marked ready.,Confirm files exist; inspect ticket ordering; confirm roadmap ticket is marked done and next ticket is ready.,Keep roadmap stable unless new code facts require change; update status in place instead of forking new planning files; preserve one ticket per deliverable-sized unit of work.,Do not let roadmap drift from code reality; do not create circular dependencies; do not duplicate the archived TypeScript core into main.,tickets.csv; PLAN.md
8,QA-001,QA,Foundation,"Create sanitized fixture, parity harness, and benchmark baseline",done,P0,none,"Establish a deterministic, sanitized data and measurement baseline before deep refactors so later tickets can prove parity and performance instead of relying on intuition.","Synthetic fixture config, rules, and SQLite ledger suitable for committed tests; repeatable benchmark commands for transaction list, summary, cashflow, and dashboard payloads; recorded baseline numbers and archive-to-main parity checklist.",Fixture contains no personal runtime data and is deterministic; warm and cold benchmark commands are documented and runnable; archived surfaces are mapped to Rust targets; baseline measurements are stored for later comparison.,"Run fixture-loading or fixture-generation tests; run benchmark commands at least once and record outputs; verify parity checklist covers dashboard, overview, and transactions surfaces.",Use synthetic data only; keep timestamps and IDs deterministic; separate API-handler latency from full-page render latency; prefer hyperfine or equivalent simple reproducible benchmarks.,"Do not rely on FIN_HOME personal files; do not record noisy one-off measurements as gates; do not mix benchmark targets such as SQL time, handler time, and SSR time into one number.",tests/fixtures; benches or scripts/benchmarks; package.json; PLAN.md
16,SDK-001,SDK,Core,Extract shared read context and service seam,done,P0,QA-001,"Create a single Rust read-service seam that centralizes config loading, DB resolution, and read-only connection management for CLI, TUI, and future API consumers.",A shared ReadContext or equivalent service module in fin-sdk; CLI and TUI read paths updated to use it; duplicated resolve_db style logic removed or reduced to thin adapters.,CLI and TUI both use the shared read seam for config and database access; read logic no longer depends on CLI presentation types; path precedence and read-only semantics remain correct.,Run cargo check and cargo test; run representative read commands and launch TUI startup path; compare output behavior before and after refactor.,Keep the seam in fin-sdk rather than fin-cli; make it typed and presentation-free; preserve existing JSON and text behavior at the edges while removing duplication under the hood.,Readonly plus migrate currently has nuanced behavior; do not introduce circular dependencies between SDK and CLI; do not leak clap or serde_json specific types into the SDK core.,crates/fin-sdk/src; crates/fin-cli/src/commands/view.rs; crates/fin-cli/src/commands/report.rs; crates/fin-cli/src/commands/sanitize.rs; crates/fin-tui/src/fetch.rs
24,SDK-002,SDK,Core,"Normalize envelope, discovery, and registry parity",done,P0,SDK-001,"Unify the read-only contract across CLI and future API by fixing discovery gaps, registry drift, and envelope inconsistencies now instead of carrying them into fin-api.","Shared or aligned envelope types; corrected tool registry metadata; explicit handling for version, tools, and health; output field definitions updated to match real payloads.","The registry accurately describes real read-only behavior; version, tools, and health are discoverable as intended; payload field names and outputFields no longer drift; envelope shape remains stable as ok/data/error/meta.",Snapshot or golden-test fin tools --json; verify health and version payloads; verify existing automation can still parse JSON envelopes.,Preserve envelope keys and error semantics; treat the CLI contract as public; use this ticket to remove discovery ambiguity before API endpoints inherit it.,Do not silently rename established payload keys; do not expose interactive or mutating commands as read-only API candidates; do not let registry metadata differ from actual command outputs.,crates/fin-cli/src/envelope.rs; crates/fin-cli/src/registry.rs; crates/fin-cli/src/commands/tools.rs; crates/fin-cli/src/commands/health.rs; crates/fin-cli/src/commands/version.rs; crates/fin-sdk/src/contracts.rs
32,SDK-003,SDK,Core,Implement dashboard KPI and anomaly cashflow read models,done,P0,SDK-002,Port the archive dashboard's most useful cashflow semantics into Rust so KPI strips and anomaly indicators are computed once in the SDK rather than improvised in UI layers.,"Typed read models for last full month net, trailing average net, median spend, short-term trend state, rolling median expense, expense deviation ratio, and anomaly flagging.","SDK exposes typed cashflow/dashboard models with archive-equivalent semantics; current partial month is excluded correctly; anomaly metrics are test-covered and reusable by TUI, API, and web.","Add unit tests against fixture data for normal, anomalous, and sparse series; verify partial month handling and sign conventions.",Compute these metrics in Rust services rather than in TUI or web loaders; document partial-month rules and trailing-window rules explicitly; keep naming stable and domain-specific.,Current month cutoff is easy to get wrong; income and expense sign conventions must remain explicit; avoid per-UI reimplementation of anomaly thresholds.,crates/fin-sdk/src/reports.rs; crates/fin-sdk/src/queries.rs; new fin-sdk dashboard module if needed
40,SDK-004,SDK,Core,Implement asset allocation and reserve composition read models,done,P0,SDK-003,"Recover the archive allocation views by exposing typed composition data for available cash, expense reserve, tax reserve, emergency funds, savings, and investments where configuration allows it.",Allocation models for personal and non-personal groups; reserve composition helpers; config-driven subtype mapping and percentage calculations suitable for both segmented bars and tables.,Group allocation data is exposed by Rust without UI-specific recomputation; personal and business or joint semantics are explicit; percentages and absolute amounts are both available and test-covered.,Add fixture-backed tests for personal and business or joint groups; verify edge cases such as missing subtype metadata and negative available balances.,Use configuration and account metadata rather than hardcoded IDs wherever possible; return both raw amounts and precomputed shares so UIs do not re-derive business logic.,"Missing subtype data, negative available values, and reserve month or tax assumptions can skew outputs; do not silently collapse different reserve semantics into one generic number.",crates/fin-sdk/src/reports.rs; crates/fin-sdk/src/queries.rs; crates/fin-sdk/src/config
48,SDK-005,SDK,Core,Implement historical balance and contribution series read models,done,P0,SDK-004,"Bring back the archive historical time-series views by exposing merged all-account balance timelines, per-account balance series, and cumulative contribution series from Rust.","Typed time-series models for all-account merged balances, per-account balances, and cumulative contributions; deterministic forward-fill and optional downsampling rules documented in Rust.",SDK can return all-account and per-account history without web-only helpers; forward-fill semantics are explicit and tested; contribution series exists for investment accounts and sparse dates are handled correctly.,"Add unit tests for forward fill, sparse series, and contribution aggregation; verify timeline ordering and date normalization against fixtures.",Keep date semantics UTC-normalized and deterministic; make any downsampling opt-in and reproducible; expose enough metadata for UI layers to render history without bespoke loaders.,"Timezone drift, sparse series gaps, and hidden forward-fill assumptions can create false trend lines; do not make downsampling lossy by default.",crates/fin-sdk/src/queries.rs; new fin-sdk timeseries module if needed
56,SDK-006,SDK,Core,Implement expense hierarchy and flow matrix read models,done,P0,SDK-005,Recover the archive treemap and Sankey information in Rust-native form so both web and TUI can render category hierarchy and flow-of-funds views from the same source of truth.,"Typed hierarchical expense tree model; typed flow matrix or graph model with source, target, amount, and share fields; pruning and ordering rules for zero-value nodes.",Rust can generate archive-equivalent hierarchy and flow data; ordering and share calculations are deterministic; both graph-style and table-style UIs can consume the same model without post-processing.,"Add fixture-backed tests for hierarchy shape, zero-node pruning, ordering, and share totals; verify outputs for multiple groups.",Design these read models for both web charts and terminal tables; include amounts and percentages; keep hierarchy generation in SDK rather than web helpers.,"Expense hierarchy naming collisions, transfer noise, and zero-value branches can make outputs misleading; do not tie the model to ECharts-specific fields.",crates/fin-sdk/src/queries.rs; new fin-sdk hierarchy or flow module if needed
80.0,SDK-007,SDK,Core,Implement runway projection and scenario read models,done,P0,SDK-006,Add forward-looking runway projection models so the restored overview surfaces can compare current-burn and minimum-burn scenarios with explicit threshold and breach information.,"Projection models for multiple burn scenarios, threshold and warning markers, projected balances by month, and derived breach month or runway summary metadata.",Historical runway and forward projection are clearly separated in the SDK; projection models support current-burn and minimum-burn cases; thresholds and breach metadata are explicit and tested.,"Add unit tests for positive, negative, and threshold-crossing scenarios; verify projection dates and burn assumptions are stable and documented.",Keep projection logic separate from historical report.runway semantics; make assumptions explicit in types and function names; prefer deterministic monthly projection steps.,It is easy to conflate historical runway series with forward projection; threshold units and months-to-breach semantics must be explicit; do not hide scenario assumptions in UI code.,crates/fin-sdk/src/reports.rs; new fin-sdk projection module if needed
90.0,SDK-008,SDK,Core,"Implement paginated, sortable, group-scoped transaction read models",done,P0,SDK-007,"Replace preview-style transaction access with robust read models that support stable sorting, cursor paging, counts, and row-detail payloads for both TUI and web.","Transaction list API types with group filtering, sort columns and directions, stable cursor pagination, total counts, and selected-row detail structures.",Transactions can be queried by group with explicit sort and cursor semantics; counts and detail payloads are available; stable tie-breaking prevents duplicate or skipped rows across pages.,"Add integration tests for cursor pagination, sort ordering, and search edge cases on the fixture ledger; verify repeated page fetches are stable.",Prefer cursor pagination over offset pagination; include stable tie-breaks such as posted_at plus id; design payloads to support both table rendering and detail panes.,Pagination bugs are subtle and easy to miss; search semantics can drift from existing CLI behavior; do not force consumers to fetch the full dataset when they only need one page.,crates/fin-sdk/src/queries.rs; crates/fin-sdk/src/reports.rs if summary metadata is shared
100,PERF-001,PERF,Performance,Batch-optimize accounts and ledger readers,done,P0,SDK-008,Remove the obvious N plus 1 patterns in accounts and ledger readers before any API wraps them so the system is fast by construction instead of by caching over slow SQL.,Batched account balance and freshness queries; batched ledger plus postings load path; query count reduction and before or after benchmark notes.,view.accounts no longer performs per-account loops for balances and updates; view.ledger no longer performs one postings query per entry; measured warm-run performance improves on the fixture baseline.,Run account and ledger benchmarks before and after; verify exact row ordering and payload shapes with tests.,Keep output semantics unchanged while reducing query count; prefer straightforward SQL over clever query builders; document any changed assumptions about ordering.,Performance refactors that alter ordering or null semantics are regressions; do not trade correctness for fewer queries.,crates/fin-sdk/src/queries.rs
110,PERF-002,PERF,Performance,Refactor summary and report aggregation to reuse shared series,done,P0,PERF-001,"Stop repeated full-series scans in summary-style reports by computing shared group cashflow inputs once and deriving runway, health, and reserves from reusable intermediate data.",Shared aggregation helpers; summary and related report paths updated to reuse them; benchmark notes showing reduced redundant work.,report.summary no longer triggers avoidable repeated scans per group; summary-style outputs remain semantically identical; warm report timings improve measurably on the fixture baseline.,"Benchmark summary, cashflow, runway, and reserves paths before and after; run unit tests and any parity checks.",Prefer explicit reusable intermediate structures over hidden caching magic; keep business rules and trailing windows unchanged unless a ticket explicitly changes them.,Small semantic drifts in reserve or runway math are easy to miss during reuse refactors; do not regress archived KPI meaning in pursuit of speed.,crates/fin-sdk/src/reports.rs; crates/fin-sdk/src/queries.rs
120,PERF-003,PERF,Performance,Optimize transaction list and search path and add storage support only if justified,done,P0,PERF-002,"Profile and optimize the transaction query path for large ledgers, and add indexes or FTS only if benchmarks show the simpler path cannot meet the stated budget.",Query-plan study; optimized transaction list query; optional schema migration for indexes or FTS if benchmark-gated; recorded warm and cold timings for list and search paths.,"Warm paginated transaction list meets the target budget or an explicit justified exception is recorded; search path is measurably improved and documented; any DB changes are minimal, test-covered, and reversible.",Run benchmarks and query-plan inspection against the fixture ledger; verify migration behavior if indexes or FTS are added; rerun transaction pagination tests.,"Prefer the smallest storage change that satisfies the budget; keep list performance separate from substring search performance; document whether search is exact, LIKE-based, or FTS-based.",FTS adds schema and maintenance complexity; bundled SQLite features may differ across environments; do not add heavyweight storage features without benchmark proof.,crates/fin-sdk/src/queries.rs; crates/fin-sdk/src/db/schema.rs; crates/fin-sdk/src/db/migrate.rs
130,TUI-001,TUI,TUI,Refactor TUI state model and context-aware cache,done,P0,PERF-003,"Fix the TUI's current route-only cache and limited state model so richer group, sort, window, and route context can exist without stale or conflicting payloads.","Context-aware cache keying; expanded fetch context covering group, sort, window, and route-specific state; migration of route refresh logic to the new model.",TUI cache entries are keyed by route plus relevant context; changing group or scope never reuses stale data; route state needed for later redesigns exists without ad hoc globals.,"Run TUI state tests and manual route switching flows; verify cache invalidation when group, scope, or filters change.",Keep the state model explicit and boring; make route context serializable or easy to fingerprint; prepare for later route redesigns without changing visible behavior more than necessary in this ticket.,Cache bugs are easy to hide during manual testing; do not bake route-specific assumptions into a so-called generic cache key; keep palette and key handling coherent while state grows.,crates/fin-tui/src/app.rs; crates/fin-tui/src/cache.rs; crates/fin-tui/src/fetch.rs
140,TUI-002,TUI,TUI,Modularize TUI fetch and render architecture and add shared widgets,done,P0,TUI-001,Break up the monolithic TUI files into route and widget modules so later dashboard redesign tickets can land cleanly and stay testable.,"Modularized route renderers and fetch adapters; shared terminal widget helpers for bars, segmented compositions, trees, tables, and summary cards; simplified ui.rs entrypoint.",ui.rs and fetch.rs are no longer single monoliths; route modules compile cleanly; shared widgets exist for repeated visual patterns; later route tickets can change one route without destabilizing all others.,Run cargo check and TUI tests; manually verify the pre-redesign TUI still renders after modularization.,Refactor structure before redesigning visuals; keep public behavior stable in this ticket; prefer small domain-specific widgets over overengineered abstractions.,Do not create a generic widget framework with no immediate need; do not mix route business logic into pure rendering helpers.,crates/fin-tui/src/ui.rs; crates/fin-tui/src/fetch.rs; crates/fin-tui/src/routes.rs; new crates/fin-tui/src/ui or widgets modules
150,TUI-003,TUI,TUI,Redesign Summary route for dense KPI and allocation visibility,done,P0,TUI-002,"Turn the Summary route into a true finance dashboard with a dense KPI strip, allocation bar, reserve coverage, and lightweight anomaly or watchlist signals instead of a sparse table plus gauges.","New Summary route layout, including per-group KPI strip, segmented allocation or reserve bars, concise snapshot blocks, and any watchlist rows supported by SDK models.","Summary route surfaces runway, last-month net, trend state, median spend, net worth, available or reserve composition, and clear status cues without requiring users to visit text-only routes; layout remains legible on common terminal widths.","Manual TUI validation at narrow, standard, and wide terminal widths; route-specific tests where feasible; compare content against SDK data and archived dashboard intent.","Optimize for information density, not ornamental borders; prefer one-line cards and segmented bars where they save space; keep labels explicit and tabular-friendly.",Overpacking the route can make it unreadable; do not rely on color alone for meaning; avoid hardcoded width assumptions that collapse below 100 to 120 columns.,crates/fin-tui/src/app.rs; crates/fin-tui/src/fetch.rs; new summary route renderer modules; crates/fin-tui/src/theme.rs
160,TUI-004,TUI,TUI,Redesign Cashflow route around grouped monthly bars and anomaly cues,done,P0,TUI-003,"Replace weak line-like encodings with terminal-native grouped or diverging monthly bars, explicit deviation markers, and compact trailing metrics for income, expense, and net.","A cashflow route that uses grouped monthly bars or centered diverging bars, explicit deviation and savings indicators, and a compact reserve or runway footer.","Income, expense, and net are easy to compare month by month in the terminal; anomaly or deviation state is visible without reading raw numbers only; color usage is consistent and secondary to labels and sign cues.",Manual validation on real terminal sizes; compare route numbers to SDK models; add helper tests for bar scaling or label formatting where practical.,Use consistent color families such as lighter blue for income and darker blue for expense if a single-family palette is chosen; prefer grouped bars over overlapping bars unless overlap readability is proven.,Line-chart nostalgia is a trap in terminal UIs; do not compress labels until bars become meaningless; preserve sign clarity and explicit units.,crates/fin-tui/src/fetch.rs; new cashflow route modules; shared widget helpers; crates/fin-tui/src/theme.rs
170,TUI-005,TUI,TUI,"Redesign Overview route for account drilldown, history, and projection",done,P0,TUI-004,Upgrade the Overview route from a static balance bar chart into a split view that shows account inventory on one side and selected-account history or projection detail on the other.,"Overview layout with account list or table, selected-account focus state, historical balance panel, contribution-aware investment view where applicable, and retained freshness visibility.",Users can inspect total context and then drill into one account without leaving the route; history and projections are visible in terminal-friendly form; stale account data remains visible and actionable.,Manual validation of selection behavior and layout at different widths; compare values to SDK history and projection models; add tests for state transitions where possible.,Preserve keyboard-only navigation; keep selection obvious; make the route useful for both regular cash accounts and contribution-based investment accounts.,Do not continue using absolute-value bars as the primary explanation of account state; avoid requiring a mouse or hidden key chords for drilldown.,crates/fin-tui/src/app.rs; crates/fin-tui/src/fetch.rs; new overview route modules
