sequence,ticket_id,track,phase,title,status,priority,depends_on,summary,deliverables,success_criteria,validation,general_instructions,watch_outs,files_or_modules
180,TUI-006,TUI,TUI,"Redesign Categories route for pareto, hierarchy, and flow-of-funds insight",done,P0,TUI-005,"Make Categories a high-signal analytical route by combining pareto data, expense hierarchy, leakage, and flow-of-funds views instead of limiting it to a chart and a sparkline table.","Categories route with top categories, indented expense tree, uncategorized leakage summary, and flow matrix or linked flow summary supported by SDK hierarchy and flow models.","Categories route surfaces both concentration and structure; users can see top spend, category hierarchy, leakage, and where money flows; information density improves without becoming visually chaotic.",Manual route validation on multiple widths; compare totals and percentages to SDK models; add focused tests for tree or matrix formatting helpers where practical.,Use trees and tables where they communicate structure better than faux charts; preserve the leakage cue; order sections by likely diagnostic value.,Hierarchy rendering can explode vertically if not pruned or capped; do not recreate a treemap badly in text when an indented tree would be clearer.,crates/fin-tui/src/fetch.rs; new categories route modules; shared tree and matrix widgets
190,TUI-007,TUI,TUI,"Redesign Transactions route for group, sort, paging, and detail inspection",done,P0,TUI-006,"Turn Transactions into a high-volume inspection tool with group filters, stable sorting, cursor paging, and a selected-row detail pane instead of a global preview table.","Transactions route with group selection, sort controls, cursor paging, search, range summary, and row-detail panel sourced from the new SDK transaction models.",Thousands of transactions are navigable without loading or rendering everything at once; group scope and sort state are visible; selected-row details provide more context than a single table row.,"Manual validation on large fixture datasets; verify page boundaries, sorting, and search behavior; add tests for cursor and selection state transitions.",Prefer server or SDK pagination to local full-list filtering when volume grows; keep the search affordance discoverable; ensure the detail pane does not starve the main table of width.,Do not reintroduce full in-memory transaction previews as the primary path; avoid unstable sort behavior and duplicate or skipped rows across pages.,crates/fin-tui/src/app.rs; crates/fin-tui/src/fetch.rs; new transactions route modules
200,TUI-008,TUI,TUI,Replace or retire the plain-text Reports route and finalize palette and key model,done,P1,TUI-007,"Finish the TUI redesign by removing the leftover plain-text report dump as the default analytical escape hatch and bringing the palette, footer hints, and route model up to date.","Structured replacement for Reports route or an intentional route removal with equivalent structured surfaces elsewhere; updated palette actions, footer hints, and route labels or IDs.",No major analytical route remains plain-text by accident; palette actions expose current route controls cleanly; footer hints match real keybindings and state model.,"Manual verification of navigation, palette actions, and route availability; run TUI tests and cargo check.",Be explicit if Reports is removed or folded into another route; keep command-palette behavior aligned with actual route context and new filters.,Do not delete useful metrics without providing a structured replacement; do not let palette metadata and real behavior drift apart again.,crates/fin-tui/src/routes.rs; crates/fin-tui/src/app.rs; crates/fin-tui/src/palette.rs; crates/fin-tui/src/ui.rs
210,API-001,API,API,Scaffold fin-api crate and workspace integration,done,P0,PERF-003,"Create the new fin-api crate as a thin Rust daemon that depends on fin-sdk and is wired into the workspace, build, and test surfaces without introducing duplicate domain logic.","New crates/fin-api package, Cargo manifest, binary entrypoint, workspace membership, and minimal boot path that compiles and runs.",fin-api builds as part of the workspace; it depends on fin-sdk rather than fin-cli; no business logic is duplicated into the daemon scaffold; root cargo and build scripts are aware of the crate where needed.,Run cargo check and cargo test for the workspace; confirm the new binary starts and exits cleanly in placeholder form.,Keep fin-api thin from day one; prefer direct SDK service calls over CLI command reuse; keep startup configuration explicit and local-first.,Do not route API requests through fin-cli subprocesses; do not move domain logic out of fin-sdk into the daemon.,Cargo.toml; crates/fin-api/Cargo.toml; crates/fin-api/src/main.rs
220,API-002,API,API,"Implement server runtime, Unix socket default transport, and lifecycle management",done,P0,API-001,"Build the local daemon runtime around HTTP plus JSON over a Unix domain socket by default, with loopback TCP fallback only where portability or debugging requires it.","HTTP server runtime, socket path configuration, stale socket cleanup, graceful shutdown, readiness handling, optional loopback TCP fallback, and structured stderr logging.",fin-api serves over a Unix socket by default; stale sockets are cleaned up safely; readiness and shutdown are reliable; a TCP fallback exists without changing the API surface.,"Start the daemon, hit a probe endpoint over the Unix socket, restart it to verify stale-socket cleanup, and confirm clean shutdown behavior.",Treat this as a local daemon first; keep logs quiet by default but explicit on failure; separate transport concerns from handler logic.,Socket path length and permissions can fail in surprising ways; do not assume Unix sockets work everywhere; keep fallback transport optional rather than primary.,crates/fin-api/src/main.rs; new crates/fin-api/src/server modules; package or script hooks if needed
230,API-003,API,API,Implement orientation endpoints and shared API envelope,done,P0,API-002 | SDK-002,"Expose version, tools, and health through the daemon using the same stable envelope semantics as the CLI so both humans and agents can discover and trust the service.","Orientation endpoints such as version, tools, and health; shared envelope middleware or helpers; consistent error mapping and meta timing fields.","API orientation endpoints return the same contract shape as the CLI; health, tools, and version are complete and accurate; error codes and hints are stable and actionable.",Add API contract tests for orientation endpoints; compare outputs to CLI expectations where applicable.,Reuse the corrected discovery and envelope contract from SDK-002; keep the handlers thin and typed; measure elapsed time consistently.,Do not create a second inconsistent discovery system; do not expose internal panic or database details in error messages.,crates/fin-api/src/main.rs; new crates/fin-api/src/handlers; crates/fin-sdk/src/contracts.rs; crates/fin-cli/src/registry.rs
240,API-004,API,API,"Implement config, rules, sanitize-discover, and view endpoints",done,P0,API-003 | SDK-008,Expose the existing read-only infrastructure surfaces and core ledger views through fin-api so the web package and other local clients can stop depending on direct SDK or DB access.,"Read-only endpoints for config show or validate, rules show or validate, sanitize discover, view accounts, view transactions, view ledger, and view balance.",Each endpoint maps cleanly to shared SDK read services; payloads are fully typed and envelope-wrapped; view transactions uses the new paginated or sortable transaction model rather than legacy preview behavior.,"Add endpoint tests covering success, invalid input, and blocked prerequisite cases; verify representative calls over the Unix socket.",Mirror read-only CLI capability but do not blindly copy CLI presentation details; keep route naming predictable and local-client friendly.,Do not expose mutation endpoints in fin-api; do not fallback to CLI subprocess calls; do not let config or rules endpoints read unsanitized runtime state into the repo.,crates/fin-api/src/handlers; crates/fin-sdk/src; crates/fin-cli/src/commands for parity reference only
250,API-005,API,API,Implement report endpoints,ready,P0,API-004 | SDK-007,"Expose cashflow, health, runway, reserves, categories, audit, and summary report data through fin-api using the improved SDK models and corrected contract semantics.","Report endpoints for cashflow, health, runway, reserves, categories, audit, and summary, all backed by shared SDK logic and wrapped in the standard envelope.",Every read-only report command has a direct API equivalent; summary payloads stop being placeholders where richer models now exist; report endpoints are benchmarked against the fixture baseline.,Add API tests for representative report calls and edge cases; compare values with CLI or direct SDK parity checks.,Prefer direct typed SDK responses over reserializing CLI JSON values; keep route filters and parameter names consistent with CLI semantics where practical.,Do not preserve placeholder summary structures once richer models exist; do not let API route naming drift away from discovery metadata.,crates/fin-api/src/handlers; crates/fin-sdk/src/reports.rs; crates/fin-sdk/src/queries.rs
260,API-006,API,API,Implement dashboard-specific endpoints for restored web and TUI surfaces,blocked,P0,API-005 | SDK-006,Add dedicated high-signal dashboard endpoints rather than forcing clients to over-fetch or reconstruct complex views from generic report endpoints.,"Dashboard endpoints covering KPI strip data, allocation composition, historical balance series, contribution series, flow matrix, expense hierarchy, and projection payloads needed by restored web screens and richer TUI routes.",Web and any future local clients can fetch archive-equivalent dashboard surfaces directly from fin-api; clients no longer need to compose large numbers of generic endpoints to rebuild one screen.,Add endpoint tests and latency benchmarks for each dashboard payload; verify response sizes are reasonable and fields map directly to UI needs.,"Keep dashboard endpoints thin and read-only; design responses around UI tasks, not around generic chart library formats; include both raw values and precomputed summary fields when it saves client work.",Do not bloat report.summary into an everything endpoint if smaller task-focused endpoints are clearer; do not ship ECharts-specific field names as core API types.,crates/fin-api/src/handlers; crates/fin-sdk/src/dashboard or equivalent modules
270,API-007,API,API,"Add fin-api contract tests, latency benchmarks, and operator docs",blocked,P0,API-006,"Finish the daemon properly by adding contract coverage, benchmark coverage, and operator-facing usage documentation so fin-api is a stable product surface rather than an internal experiment.","API integration tests, contract snapshots, benchmark scripts or commands, and concise operator docs covering startup, transport, health checks, and troubleshooting.","All orientation, view, report, and dashboard endpoints have test coverage; latency benchmarks exist and are recorded; operator docs explain Unix socket usage, fallback transport, and common failure modes.",Run full API test suite and benchmark commands; verify docs against the actual binary and transport behavior.,"Document what is measured and on which fixture; keep docs short and operational; note the difference between warm latency, cold latency, and page-render latency.",Do not claim sub-5 millisecond behavior without a recorded command and dataset; do not leave fallback transport undocumented if it ships.,crates/fin-api/tests; scripts or benches; PLAN.md or dedicated API docs
280,WEB-001,WEB,Web,Restore packages/web workspace and build skeleton without reintroducing the archived core,blocked,P0,API-007,Bring the SvelteKit package back onto main with its tooling and structure intact while ensuring it is positioned as a pure API client rather than a second application core.,"Restored packages/web workspace, package manifest, configs, app shell, route skeletons, and root workspace integration compatible with current main.",packages/web exists and builds in the workspace; the app shell and route structure are restored; no direct @fin/core or direct DB dependency is reintroduced for data access on main.,"Run bun install if needed, bun run --filter @fin/web check, and bun run --filter @fin/web build with temporary or real API client stubs as required.",Restore the proven UI structure first and then change data plumbing deliberately; keep the visual system and accessible shell from archive where still valuable.,Do not bring back the archived TypeScript or Bun core as a runtime dependency; do not let web loaders query SQLite or read TOML directly.,package.json; packages/web/package.json; packages/web/src; Svelte and Vite config files
290,WEB-002,WEB,Web,Implement server-side fin-api client and remove direct SDK or DB coupling,blocked,P0,WEB-001 | API-007,Replace archive-style local core access with a server-only client that talks to fin-api over the Unix socket by default and exposes typed helper calls to route loaders.,packages/web/src/lib/server/api.ts or equivalent; typed request helpers; loader integration scaffolding; environment or config wiring for socket path and fallback transport.,All server loaders use fin-api client helpers rather than direct DB or config access; socket transport is hidden behind one client module; typed responses mirror the API envelope cleanly.,Run web typecheck and build; mock or hit the real API in route-loader tests where available; verify no direct SDK or DB imports remain in server loaders.,Keep the API client server-only; centralize envelope parsing and error handling; hide transport details from route code.,Do not leak Unix socket details to client-side bundles; do not scatter raw fetch calls with duplicated error handling across many route files.,packages/web/src/lib/server/api.ts; packages/web/src/routes/**/*; package.json
300,WEB-003,WEB,Web,Restore dashboard page against fin-api,blocked,P0,WEB-002 | API-006,"Rebuild the archive dashboard on main using Rust API payloads so the most information-rich screen returns with its KPI strip, allocation bar, monthly cashflow, distribution flow, expense breakdown, and account history panels.","Dashboard route loaders and Svelte components wired to fin-api; restored KPI strip, allocation panels, cashflow chart, flow visualization, expense breakdown, and account chart modules.","Dashboard renders from fin-api only; layout and information density are meaningfully comparable to archive; loading, empty, and error states exist; charts receive typed Rust-backed data without bespoke client recomputation.","Run web check and build; manually test dashboard on narrow, standard, and very wide viewports; compare values and surfaces against archive intent and SDK outputs.",Restore structure before inventing new design patterns; preserve responsive all-groups versus active-group behavior where still valuable; keep chart code thin and data-driven.,Do not revive archived data-fetch logic or hidden business calculations in Svelte components; do not allow SSR or hydration to recompute core financial metrics differently from the Rust API.,packages/web/src/routes/+page.server.ts; packages/web/src/routes/+page.svelte; packages/web/src/lib/charts; packages/web/src/lib/Header.svelte
310,WEB-004,WEB,Web,Restore overview page against fin-api,blocked,P0,WEB-003,Bring back the overview page with all-account historical balance context and runway projection so long-horizon financial context exists again on main.,Overview route loader and Svelte page wired to fin-api historical balance and projection endpoints; restored chart components configured for Rust-backed data.,Overview page renders all-account balance history and runway projection from fin-api; threshold and warning semantics are preserved; loading and empty states are present.,Run web check and build; manually compare overview visuals and values to API payloads and archived behavior.,Keep all-account history and projection conceptually separate; use API response types directly; preserve archive readability rather than introducing gratuitous new UI patterns.,Do not let projection semantics drift from SDK assumptions; avoid client-side data reshaping that duplicates Rust logic.,packages/web/src/routes/overview/+page.server.ts; packages/web/src/routes/overview/+page.svelte; packages/web/src/lib/charts
320,WEB-005,WEB,Web,Restore transactions page against fin-api with scalable data flow,blocked,P0,WEB-004 | API-004,"Bring back the transactions page as a group-scoped, sortable, scalable inspection view backed by the new paginated or sorted Rust API rather than preloading giant in-memory blobs by group.",Transactions loader and page wired to fin-api list and count endpoints; scalable sort and filter flow; restored table behavior with virtualized or efficient rendering.,"Transactions page no longer depends on archive-style bulk per-group loads if the API supports paging; sort, group, and count UI are preserved; the page stays responsive on large fixtures.","Run web check and build; manually test sort and group changes, count accuracy, and large-list responsiveness; compare output to API pagination behavior.",Use the API's sort and pagination features rather than recreating them client-side; preserve clear range and count messaging.,Do not fetch all rows just to preserve old UI code; do not allow URL state and API state to drift.,packages/web/src/routes/transactions/+page.server.ts; packages/web/src/routes/transactions/+page.svelte; packages/web/src/lib/Header.svelte
330,WEB-006,WEB,Web,"Harden web connection states, performance, and dependency cleanup",blocked,P1,WEB-005,"Finish the restored web package by tightening connection state UX, downsampling or chart performance, and eliminating any leftover archived-core dependency or dead code.","Final web polish on loading and error states, connection indicator behavior, chart downsampling where needed, dependency cleanup, and route-level performance tuning.","Header connection state reflects real API health; pages handle loading, empty, and error states cleanly; no archived core data dependency remains; chart performance is acceptable on the fixture baseline.",Run web check and build; manually simulate API unavailable and slow API cases; inspect final package dependency graph for unwanted archived-core coupling.,Keep this ticket focused on reliability and performance rather than redesign; prefer deleting dead compatibility code over keeping it around just in case.,"Do not leave zombie imports, route stubs, or direct-core helpers in place; do not hide API failures behind silent fallback data.",packages/web/src; packages/web/package.json; root package.json
340,DEV-001,DEV,Integration,Implement root dev orchestration so bun run dev starts fin-api and web together,blocked,P0,API-007 | WEB-006,"Create the integrated local developer loop where one root command starts the Rust API daemon, waits for readiness, then starts the web app with clean shutdown and quiet normal logging.","A root dev script or small Bun orchestrator that launches fin-api, waits for health over the chosen transport, starts the web dev server, forwards useful logs, and cleans up child processes and sockets on exit.",bun run dev starts the full stack reliably; fin-api runs quietly in the background under normal conditions; readiness is awaited before the web depends on it; Ctrl+C or normal exit cleans up processes and sockets.,"Run bun run dev and verify clean startup, connected header state, clean shutdown, and restart behavior after an interrupted previous run.",Use a real process orchestrator script rather than brittle shell backgrounding; keep logs terse by default; treat cleanup as a first-class requirement.,"Orphaned processes, stale sockets, and race conditions are the biggest risk; do not assume shell job control is portable enough for this workflow.",package.json; scripts/dev.ts or equivalent; crates/fin-api startup hooks; packages/web env wiring
350,DEV-002,DEV,Integration,"Integrate build, install, and check pipelines across CLI, TUI, API, and web",blocked,P0,DEV-001,"Update the root build and quality-gate scripts so the new API and restored web package are part of normal build, install, and validation flows rather than side projects.","Root package.json scripts, workspace wiring, and any install or packaging logic updated to include fin-api and packages/web; quality gates updated for Rust plus web.",Root check pipeline validates Rust workspace and web package; build or install flows know about fin-api where appropriate; no major path on main ignores the new runtime pieces.,Run the full quality gate and build pipeline from the root; confirm expected artifacts and failure behavior.,Keep scripts explicit and deterministic; prefer one quality gate entrypoint; document any unavoidable environment requirements.,Do not break existing fin or fin-tui workflows while adding fin-api and web; avoid hiding failures behind best-effort shell constructs.,package.json; Cargo.toml; packages/web/package.json; crates/fin-api/Cargo.toml
360,QA-002,QA,Final,"Run final contract, parity, performance, and manual validation pass",blocked,P0,TUI-008 | DEV-002,"Close the roadmap by proving the rebuilt system works end to end: richer SDK models, restored TUI usefulness, fin-api daemon, restored web package, and integrated dev workflow.","Final contract snapshots, benchmark report, manual validation checklist results, and updated ticket statuses reflecting the real completion state of the roadmap.","All required tests and checks pass; benchmark budgets are met or any exception is explicitly documented; manual validation covers TUI, API, web, and dev orchestration; tickets.csv status fields are updated to reflect reality.","Run root quality gate, relevant benchmark commands, and manual scenario checks including API unavailable, stale socket recovery, wide versus narrow TUI layouts, and large transaction navigation.",Be strict about definition of done; record the exact commands used for benchmark claims; update ticket statuses rather than hand-waving completion in prose.,Do not claim success without recorded evidence; do not leave partial tickets marked done; do not skip manual checks just because automated tests passed.,tickets.csv; PLAN.md; test and benchmark outputs; package.json
